age,sex,bmi,children,smoker,region,charges,SSN,Phone Number
19,female,27.9,0,yes,southwest,16884.924,670-53-4748,289-594-1504x3594
18,male,33.77,1,no,southeast,1725.5523,325-91-0883,328-383-7588x4534
28,male,33,3,no,southeast,4449.462,213-95-9778,742.711.1148x375
33,male,22.705,0,no,northwest,21984.47061,385-37-4308,(565)044-9978
32,male,28.88,0,no,northwest,3866.8552,178-01-2652,482.150.4863x7553
31,female,25.74,0,no,southeast,3756.6216,097-75-7994,(939)529-7569x51381
46,female,33.44,1,no,southeast,8240.5896,008-19-4297,083-980-1146x7205
37,female,27.74,3,no,northwest,7281.5056,786-15-1900,553-552-8781
37,male,29.83,2,no,northeast,6406.4107,203-19-5161,001-173-082-0111
60,female,25.84,0,no,northwest,28923.13692,407-50-2294,011.434.1253x927
25,male,26.22,0,no,northeast,2721.3208,203-98-1131,324.381.3134x5654
62,female,26.29,0,yes,southeast,27808.7251,899-51-3936,(306)396-5103x25977
23,male,34.4,0,no,southwest,1826.843,017-12-6225,001-760-833-7774x2857
56,female,39.82,0,no,southeast,11090.7178,195-18-6257,739-003-5081
27,male,42.13,0,yes,southeast,39611.7577,542-49-1398,001-268-158-2980
19,male,24.6,1,no,southwest,1837.237,334-10-0929,466-359-3032
52,female,30.78,1,no,northeast,10797.3362,025-89-4611,926.669.5413
23,male,23.845,0,no,northeast,2395.17155,404-33-2817,001-397-736-7100
56,male,40.3,0,no,southwest,10602.385,470-55-8172,001-203-397-1125x35591
30,male,35.3,0,yes,southwest,36837.467,199-73-6230,5376274711
60,female,36.005,0,no,northeast,13228.84695,453-82-0967,(344)462-3002
30,female,32.4,1,no,southwest,4149.736,001-40-6788,+1-098-626-3156x398
18,male,34.1,0,no,southeast,1137.011,358-06-6868,396-720-9743x1460
34,female,31.92,1,yes,northeast,37701.8768,645-84-8303,+1-458-635-0068
37,male,28.025,2,no,northwest,6203.90175,799-82-6953,+1-278-631-7907x8038
59,female,27.72,3,no,southeast,14001.1338,653-15-4940,001-060-582-5559x4941
63,female,23.085,0,no,northeast,14451.83515,275-33-1298,500.387.6329x69791
55,female,32.775,2,no,northwest,12268.63225,711-67-2356,437-728-2455
23,male,17.385,1,no,northwest,2775.19215,037-49-1498,450-635-7675
31,male,36.3,2,yes,southwest,38711,779-55-7854,549-707-1431
22,male,35.6,0,yes,southwest,35585.576,858-81-4060,280.628.1002
18,female,26.315,0,no,northeast,2198.18985,268-21-6257,+1-674-269-1430x631
19,female,28.6,5,no,southwest,4687.797,067-26-3450,9456573692
